Day,AMPM,Time,Activity,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12
7,AM,8:30-10:00,Computing1a,1,1,1,1,1,1,1,1,1,1,1,1
7,AM,8:30-10:00,Computing1a,1,1,1,1,1,1,1,1,1,1,1,1
7,AM,10:30-12:00,Computing1b,1,1,1,1,1,1,1,1,1,1,1,1
7,AM,10:30-12:00,Computing1b,1,1,1,1,1,1,1,1,1,1,1,1
8,AM,8:30-10:00,Computing2a,1,1,1,0,0,0,0,0,0,1,1,1
8,AM,10:30-12:00,Computing2a,1,1,1,0,0,0,0,0,0,1,1,1
8,AM,8:30-10:00,Computing2b,0,0,0,1,1,1,1,1,1,0,0,0
8,AM,10:30-12:00,Computing2b,0,0,0,1,1,1,1,1,1,0,0,0
11,AM,8:30-10:00,t1,1,1,0,0,0,0,0,0,0,0,1,1
11,AM,10:30-12:00,t1,1,1,0,0,0,0,0,0,0,0,1,1
11,AM,8:30-10:00,t2,0,0,1,0,1,0,0,1,0,1,0,0
11,AM,10:30-12:00,t2,0,0,1,0,1,0,0,1,0,1,0,0
11,AM,8:30-10:00,t3,0,0,0,1,0,1,1,0,1,0,0,0
11,AM,10:30-12:00,t3,0,0,0,1,0,1,1,0,1,0,0,0
11,PM,1:30-3:00,t1,0,0,1,1,0,0,0,0,1,1,0,0
11,PM,3:30-5:00,t1,0,0,1,1,0,0,0,0,1,1,0,0
11,PM,1:30-3:00,t2,1,0,0,0,0,1,1,0,0,0,0,1
11,PM,3:30-5:00,t2,1,0,0,0,0,1,1,0,0,0,0,1
11,PM,1:30-3:00,t3,0,1,0,0,1,0,0,1,0,0,1,0
11,PM,3:30-5:00,t3,0,1,0,0,1,0,0,1,0,0,1,0
12,AM,8:30-10:00,t1,0,0,0,0,1,1,1,1,0,0,0,0
12,AM,10:30-12:00,t1,0,0,0,0,1,1,1,1,0,0,0,0
12,AM,8:30-10:00,t2,0,1,0,1,0,0,0,0,1,0,1,0
12,AM,10:30-12:00,t2,0,1,0,1,0,0,0,0,1,0,1,0
12,AM,8:30-10:00,t3,1,0,1,0,0,0,0,0,0,1,0,1
12,AM,10:30-12:00,t3,1,0,1,0,0,0,0,0,0,1,0,1
